CFHTLS,Conf,Feat,ra,dec,zph,r'Mag,M*,g'-r',R/B
W1-507,1,,35.278183,-7.78526,0.08,-20.78,10.03,0.272,B
W1-509,0,,35.587955,-7.68317,0.135,-22.12,10.78,0.463,B
W1-510,0,,36.668934,-8.390828,0.11,-21.88,10.69,0.468,B
W1-511,2,,36.385536,-8.346303,0.15,-22.8,11.25,0.64,R
W1-512,4,"H,L",36.311661,-8.3478,0.153,-22.83,11.28,0.66,R
W1-513,0,,36.433968,-8.323864,0.098,-21.42,10.41,0.387,B
W1-514,0,,36.790924,-8.305021,0.169,-22.89,11.12,0.497,B
W1-515,1,,36.385372,-8.268518,0.154,-22.99,10.96,0.315,B
W1-516,0,,36.587559,-8.253731,0.147,-22.62,11.14,0.607,R
W1-517,0,,35.945682,-8.213507,0.077,-20.98,10.32,0.463,B
W1-518,2,,36.389431,-7.874524,0.09,-21.42,10.32,0.306,B
W1-524,2,,36.028103,-7.650845,0.135,-22.26,10.99,0.605,R
W1-526,0,,37.363289,-8.25656,0.113,-21.73,10.76,0.584,R
W1-527,0,,37.558399,-8.187303,0.15,-22.56,11.14,0.63,R
W1-528,2,,37.376488,-8.128593,0.197,-23.25,11.28,0.508,B
W1-531,1,,37.778675,-7.642822,0.106,-21.51,10.4,0.339,B
W1-532,0,,38.78682,-8.373136,0.098,-21.93,10.92,0.656,R
W1-533,0,,37.854969,-8.262341,0.164,-22.67,10.97,0.438,B
W1-534,4,F,37.892899,-8.233998,0.09,-21.79,10.9,0.697,R
W1-535,0,,38.101021,-8.194493,0.168,-23.05,11.1,0.416,B
W1-536,4,S,38.084538,-8.188407,0.1,-21.4,10.69,0.638,R
W1-537,1,,38.599934,-7.477653,0.181,-22.77,10.74,0.196,B
W1-538,0,,30.951706,-7.426952,0.052,-19.83,9.66,0.282,B
W1-539,0,,30.726099,-7.306275,0.179,-23.23,11.43,0.654,R
W1-540,0,,30.839809,-7.277797,0.163,-22.69,10.82,0.296,B
W1-541,0,,30.48757,-7.158827,0.18,-22.89,11.3,0.652,R
W1-542,0,,30.527094,-7.132986,0.18,-23.06,11.3,0.597,R
W1-543,0,,30.565449,-7.09252,0.188,-23.05,11.03,0.357,B
W1-544,0,,30.823832,-7.060918,0.18,-23.36,11.55,0.708,R
W1-545,0,,30.927311,-7.050244,0.147,-22.4,10.84,0.418,B
W1-547,0,,30.721937,-6.979598,0.149,-22.43,10.82,0.396,B
W1-548,0,,30.198666,-6.919785,0.18,-23.24,11.42,0.641,R
W1-549,0,,30.693359,-6.907103,0.166,-22.95,11.28,0.611,R
W1-550,4,"L,A,M",30.536102,-6.820979,0.12,-22.69,11.24,0.669,R
W1-551,0,,30.434628,-6.787655,0.12,-22.01,10.94,0.649,R
W1-552,0,,31.01907,-6.782743,0.09,-21.17,10.62,0.66,R
W1-553,1,,30.875198,-6.755153,0.167,-23.3,11.17,0.39,B
W1-554,3,M,30.566404,-6.72075,0.121,-22.44,11.13,0.66,R
W1-558,2,,30.548346,-6.627577,0.137,-22.39,10.78,0.366,B
W1-560,1,,30.670692,-6.573194,0.17,-23.34,11.19,0.4,B
W1-561,3,A,31.647377,-7.404199,0.113,-22.01,10.86,0.574,R
W1-564,0,,31.719782,-7.349049,0.084,-21.04,10.4,0.514,R
W1-565,0,,31.296377,-7.214758,0.146,-22.36,10.96,0.54,R
W1-567,0,,31.978157,-7.113281,0.107,-22.61,10.83,0.332,B
W1-568,0,,32.00531,-7.04304,0.134,-22.82,10.9,0.325,B
W1-569,0,,31.201136,-7.036559,0.15,-22.78,11.22,0.622,R
W1-570,0,,31.164372,-6.910533,0.09,-21.75,10.49,0.337,B
W1-571,2,,31.958036,-6.536741,0.063,-20.39,10.16,0.527,R
W1-572,1,,33.01751,-7.378637,0.12,-22.52,11.18,0.683,R
W1-573,0,,32.791145,-7.142229,0.151,-22.54,11.1,0.604,R
W1-574,1,,32.326901,-7.121483,0.104,-21.72,10.56,0.411,B
W1-576,1,,32.519753,-6.9819,0.159,-22.85,11.12,0.509,B
W1-577,0,,32.56152,-6.885199,0.091,-21.7,10.53,0.389,B
W1-578,0,,32.635807,-6.873928,0.149,-22.91,11.03,0.409,B
W1-579,2,,32.144451,-6.846555,0.18,-23.18,11.4,0.64,R
W1-580,0,,32.930675,-6.826228,0.117,-22.14,10.64,0.333,B
W1-581,0,,32.131687,-6.806475,0.12,-22.23,10.99,0.612,R
W1-582,0,,32.59676,-6.755602,0.157,-22.4,10.61,0.216,B
W1-584,0,,32.631798,-6.700701,0.137,-22.19,10.97,0.616,R
W1-585,0,,32.602192,-6.688014,0.089,-21.66,10.73,0.59,R
W1-587,4,S,33.123718,-7.464976,0.155,-22.71,11.08,0.525,B
W1-588,4,"L,H",33.593636,-7.440462,0.15,-22.61,11.13,0.604,R
W1-590,0,,33.745148,-7.2437,0.117,-22.21,10.75,0.403,B
W1-592,3,F,33.374947,-7.184364,0.18,-22.99,11.27,0.587,R
W1-593,0,,33.654018,-7.137939,0.068,-21.0,10.21,0.354,B
W1-595,0,,33.448841,-7.130751,0.109,-21.76,10.51,0.351,B
W1-596,0,,33.940559,-7.039578,0.15,-22.59,11.11,0.592,R
W1-597,0,,33.385891,-7.030203,0.12,-22.37,11.0,0.568,R
W1-598,0,,33.798859,-7.004424,0.123,-22.36,10.75,0.355,B
W1-599,3,M,33.462406,-6.951181,0.162,-22.64,11.13,0.594,R
W1-600,0,,33.340557,-6.938809,0.114,-21.97,10.82,0.555,R
W1-601,0,,33.073338,-6.879371,0.075,-20.9,10.34,0.51,B
W1-602,2,,33.2827,-6.894778,0.098,-21.47,10.64,0.573,R
W1-603,0,,33.491337,-6.79323,0.104,-22.12,10.42,0.147,B
W1-604,1,,33.3722,-6.814934,0.15,-22.82,11.19,0.585,R
W1-606,0,,33.392811,-6.781964,0.092,-21.48,10.44,0.387,B
W1-609,0,,34.578026,-7.437544,0.12,-22.35,10.79,0.395,B
W1-611,2,,34.273319,-7.278216,0.118,-22.16,10.73,0.405,B
W1-613,0,,34.204697,-7.262546,0.092,-21.82,10.81,0.605,R
W1-614,0,,34.539787,-7.23653,0.154,-22.66,10.91,0.387,B
W1-615,1,,34.52021,-7.215819,0.179,-22.88,11.23,0.6,R
W1-616,0,,34.192707,-7.142098,0.071,-20.6,9.89,0.217,B
W1-618,0,,34.339634,-6.897657,0.088,-21.55,10.39,0.319,B
W1-619,0,,34.684315,-6.880465,0.185,-23.62,11.33,0.426,B
W1-620,0,,34.45974,-6.874788,0.121,-21.96,10.85,0.586,R
W1-621,0,,34.191956,-6.859875,0.091,-21.65,10.77,0.623,R
W1-622,3,"L,F",34.591911,-6.840216,0.182,-23.34,11.01,0.238,B
W1-623,0,,34.308617,-6.794756,0.131,-22.72,11.05,0.492,B
W1-624,0,,34.439461,-6.784333,0.102,-21.38,10.36,0.358,B
W1-626,3,"L,S",34.122917,-6.758203,0.087,-21.46,10.57,0.509,B
W1-627,0,,34.071777,-6.748288,0.173,-23.83,11.6,0.584,R
W1-631,0,,34.336746,-6.637058,0.18,-23.25,11.37,0.593,R
W1-635,0,,34.146091,-6.55879,0.091,-21.48,10.26,0.226,B
W1-638,0,,35.865505,-7.236383,0.097,-21.25,10.29,0.341,B
W1-639,4,"A,M",35.580322,-6.8092,0.15,-22.82,11.23,0.614,R
W1-640,4,"A,M",35.579639,-6.810287,0.159,-22.73,11.19,0.611,R
W1-642,1,,35.639961,-6.673075,0.13,-22.54,10.62,0.174,B
W1-648,0,,36.383587,-7.247941,0.188,-23.92,11.45,0.421,B
W1-649,2,,35.967853,-7.259577,0.18,-23.32,11.43,0.617,R
W1-650,0,,36.193508,-7.256995,0.18,-23.21,11.42,0.647,R
W1-651,0,,35.963501,-7.244499,0.19,-23.11,11.37,0.641,R
W1-652,4,"F,S",36.492519,-7.227057,0.171,-22.91,11.21,0.567,R
W1-653,4,"L,H,F",36.547245,-7.19242,0.147,-22.49,11.12,0.638,R
W1-654,0,,36.535072,-7.164761,0.173,-22.9,11.27,0.626,R
W1-655,4,F,36.459648,-7.048455,0.112,-22.2,10.97,0.611,R
W1-657,1,,36.442379,-6.723511,0.179,-22.94,11.3,0.634,R
W1-658,1,,36.395885,-6.64271,0.152,-23.31,11.45,0.634,R
W1-660,0,,36.008266,-6.57048,0.126,-22.63,10.8,0.298,B
W1-661,0,,37.250568,-7.322034,0.124,-22.25,10.86,0.493,B
W1-663,4,S,37.172844,-7.030169,0.12,-22.09,10.95,0.625,R
W1-664,0,,37.598686,-7.013355,0.074,-21.3,10.25,0.282,B
W1-665,0,,37.132874,-6.875463,0.089,-21.1,10.21,0.324,B
W1-666,3,F,37.562542,-6.87555,0.127,-22.01,10.81,0.535,R
W1-669,0,,38.650562,-7.343497,0.09,-21.43,10.36,0.337,B
W1-670,0,,38.421764,-7.233589,0.18,-22.96,11.28,0.614,R
W1-671,4,"S,F",38.327782,-6.914946,0.15,-22.48,11.12,0.636,R
W1-672,0,,38.645008,-6.798974,0.18,-22.95,11.27,0.606,R
W1-674,0,,38.660545,-6.71835,0.088,-22.27,10.66,0.307,B
W1-676,3,"L,F",30.93034,-6.481916,0.187,-23.7,11.44,0.496,B
W1-677,4,"A,M",30.938095,-6.431514,0.09,-21.46,10.69,0.619,R
W1-678,0,,30.804665,-6.387253,0.18,-23.33,11.26,0.465,B
W1-680,0,,30.82242,-6.321378,0.118,-22.22,10.59,0.26,B
W1-681,0,,30.443417,-6.2874,0.067,-21.22,10.61,0.635,R
W1-683,4,A,30.218664,-6.293143,0.15,-22.66,11.19,0.637,R
W1-684,2,,30.203859,-6.285913,0.162,-22.83,11.27,0.646,R
W1-685,0,,30.837103,-6.284542,0.179,-23.34,11.35,0.537,B
W1-687,0,,30.619959,-6.157635,0.156,-23.02,11.08,0.414,B
W1-688,0,,30.285782,-6.134123,0.123,-22.17,10.99,0.637,R
W1-689,0,,30.946752,-6.040495,0.12,-22.02,10.94,0.646,R
W1-690,2,,30.864016,-6.024021,0.062,-20.48,10.3,0.622,R
W1-691,2,,30.933336,-5.997407,0.15,-22.67,11.19,0.64,R
W1-692,0,,31.04282,-5.81975,0.134,-22.18,10.68,0.352,B
W1-694,0,,30.70542,-5.733137,0.15,-22.41,11.07,0.619,R
W1-700,0,,32.061672,-6.316863,0.165,-22.71,11.0,0.447,B
W1-701,0,,31.437141,-6.286194,0.096,-21.61,10.65,0.528,R
W1-702,0,,31.413164,-6.25696,0.111,-21.81,10.56,0.378,B
W1-703,4,S,31.229925,-6.248841,0.099,-21.54,10.7,0.6,R
W1-704,3,M,31.439827,-6.230363,0.097,-21.39,10.56,0.529,R
W1-705,0,,31.248655,-6.199285,0.18,-22.88,11.26,0.626,R
W1-706,4,S,31.433109,-6.161631,0.104,-21.51,10.42,0.361,B
W1-708,0,,31.438442,-6.15489,0.093,-21.42,10.57,0.531,R
W1-709,0,,31.511915,-6.096455,0.145,-22.67,10.89,0.368,B
W1-710,4,A,31.520147,-6.054352,0.091,-22.1,10.92,0.595,R
W1-711,0,,31.974148,-6.000361,0.15,-22.4,10.86,0.437,B
W1-713,4,"A,S",31.985376,-5.700945,0.129,-22.02,10.88,0.586,R
W1-715,0,,32.891781,-6.503044,0.093,-21.37,10.35,0.347,B
W1-718,0,,32.933716,-6.383487,0.173,-22.92,11.22,0.568,R
W1-719,0,,32.468521,-6.368835,0.06,-20.35,9.73,0.158,B
W1-720,1,,32.424068,-6.319464,0.116,-22.08,10.61,0.331,B
W1-721,0,,32.788055,-6.306238,0.144,-23.32,11.35,0.547,R
W1-722,3,S,32.266251,-6.19511,0.15,-23.21,11.38,0.614,R
W1-723,0,,32.171623,-6.199658,0.117,-21.98,10.57,0.33,B
W1-724,0,,32.484177,-6.154427,0.127,-22.4,10.98,0.549,R
W1-725,1,,32.614037,-5.983314,0.056,-20.21,9.88,0.345,B
W1-726,1,,32.138538,-5.927599,0.15,-22.67,11.13,0.584,R
W1-727,0,,32.142296,-5.82043,0.063,-20.31,10.21,0.608,R
W1-728,0,,32.291225,-5.791084,0.134,-22.9,11.02,0.402,B
W1-730,0,,32.198467,-5.787222,0.082,-21.65,10.46,0.352,B
W1-731,0,,32.237541,-5.699671,0.156,-22.64,11.09,0.555,R
W1-733,0,,32.89518,-5.601454,0.102,-21.64,10.38,0.282,B
W1-734,0,,33.08231,-6.448335,0.06,-20.19,10.16,0.605,R
W1-735,0,,33.76339,-6.446371,0.082,-21.39,10.56,0.528,R
W1-736,0,,33.412563,-6.444153,0.12,-22.09,10.95,0.626,R
W1-739,0,,33.369022,-6.370758,0.161,-22.54,10.93,0.45,B
W1-741,1,,33.071938,-6.155965,0.157,-22.63,10.71,0.226,B
W1-742,0,,33.628422,-6.13679,0.167,-23.33,11.23,0.433,B
W1-743,0,,33.227508,-6.13663,0.193,-23.13,11.35,0.613,R
W1-744,2,,33.56781,-6.099414,0.152,-22.97,11.28,0.609,R
W1-745,0,,33.491737,-5.965949,0.163,-23.35,11.1,0.308,B
W1-746,0,,33.171925,-5.818039,0.125,-22.07,10.69,0.401,B
W1-747,1,,33.1087,-5.812184,0.195,-23.95,11.38,0.343,B
W1-749,0,,34.816997,-6.43924,0.106,-21.67,10.38,0.269,B
W1-751,0,,34.7243,-6.280736,0.076,-21.33,10.39,0.396,B
W1-753,4,,34.895359,-6.105222,0.101,-22.01,10.76,0.484,B
W1-754,0,,34.803513,-6.038069,0.093,-21.51,10.57,0.5,B
W1-755,0,,34.817082,-6.054928,0.099,-21.61,10.64,0.524,R
W1-758,0,,34.140095,-6.04112,0.087,-21.45,10.3,0.275,B
W1-760,2,,34.787804,-5.910472,0.151,-22.66,11.18,0.634,R
W1-761,4,"L,H",34.852253,-5.904421,0.149,-22.47,11.08,0.609,R
W1-762,0,,34.794674,-5.844139,0.14,-22.38,10.88,0.465,B
W1-763,0,,35.603085,-6.461341,0.052,-19.9,9.92,0.494,B
W1-764,2,,35.13971,-6.434043,0.178,-22.84,11.04,0.445,B
W1-765,2,,35.602489,-6.267052,0.066,-20.55,10.29,0.589,R
W1-766,4,M,35.749302,-6.188344,0.121,-22.18,10.97,0.614,R
W1-768,0,,35.561119,-6.142495,0.149,-22.44,10.7,0.278,B
W1-769,0,,35.364758,-5.823608,0.071,-21.51,10.4,0.343,B
W1-770,0,,35.03828,-5.710916,0.091,-21.85,10.51,0.321,B
W1-773,1,,36.102467,-6.473917,0.18,-23.06,11.33,0.623,R
W1-774,0,,36.09721,-6.41298,0.09,-21.27,10.57,0.579,R
W1-776,0,,36.268723,-6.310822,0.15,-22.52,10.87,0.401,B
W1-777,0,,36.087307,-6.152583,0.12,-22.66,11.12,0.575,R
W1-778,4,"L,F,M",36.62669,-6.157453,0.193,-23.34,10.9,0.139,B
W1-779,0,,36.178097,-6.140841,0.101,-22.06,10.73,0.441,B
W1-780,2,,36.373215,-6.102281,0.163,-23.19,11.16,0.42,B
W1-781,0,,36.289196,-6.073741,0.149,-22.76,11.16,0.576,R
W1-782,0,,36.576565,-6.092054,0.062,-20.42,10.25,0.602,R
W1-783,0,,36.365509,-6.044162,0.15,-22.6,11.05,0.536,R
W1-785,0,,36.127052,-5.918778,0.072,-21.29,10.3,0.331,B
W1-786,0,,36.28981,-5.939649,0.124,-21.96,10.85,0.583,R
W1-787,0,,36.308022,-5.91133,0.06,-20.46,10.26,0.596,R
W1-788,0,,36.403004,-5.873018,0.072,-20.72,10.16,0.411,B
W1-790,0,,36.444675,-5.742699,0.06,-20.2,10.15,0.59,R
W1-793,0,,36.961597,-6.403534,0.094,-21.34,10.24,0.26,B
W1-794,0,,37.707981,-6.362548,0.128,-22.0,10.79,0.512,B
W1-795,0,,37.149994,-5.940963,0.099,-21.71,10.4,0.27,B
W1-796,0,,37.332607,-5.939698,0.093,-21.23,10.17,0.241,B
W1-798,0,,37.225613,-5.622992,0.082,-20.97,10.36,0.503,B
W1-800,3,F,38.652245,-6.375801,0.15,-23.17,11.33,0.586,R
W1-802,0,,38.540077,-6.128997,0.072,-20.87,10.04,0.251,B
W1-804,0,,38.631935,-6.076873,0.163,-22.78,10.66,0.123,B
W1-806,1,,38.690754,-5.711457,0.18,-23.55,11.5,0.596,R
W2-1,0,,132.259323,-5.652067,0.09,-21.64,10.51,0.397,B
W2-2,1,,132.776993,-5.645323,0.119,-22.67,11.16,0.606,R
W2-6,0,,132.715134,-5.517411,0.092,-21.34,10.63,0.61,R
W2-9,0,,132.413864,-5.281756,0.108,-21.94,10.87,0.609,R
W2-12,4,F,132.406158,-5.236991,0.095,-21.5,10.5,0.438,B
W2-13,0,,132.334045,-5.225745,0.142,-22.28,11.02,0.618,R
W2-15,0,,132.28894,-5.14835,0.139,-22.2,10.63,0.306,B
W2-18,1,,132.794662,-5.089084,0.13,-22.24,10.91,0.539,R
W2-19,1,,132.672485,-5.028939,0.091,-21.63,10.72,0.586,R
W2-20,0,,132.753586,-5.024798,0.093,-21.37,10.56,0.539,R
W2-22,0,,132.648727,-4.999977,0.041,-19.3,9.4,0.243,B
W2-24,0,,132.658295,-5.003128,0.07,-20.81,10.4,0.597,R
W2-27,0,,132.607681,-4.976483,0.05,-19.77,9.98,0.589,R
W2-29,0,,132.39061,-4.935987,0.15,-23.23,11.41,0.635,R
W2-30,0,,132.363586,-4.918815,0.121,-22.38,11.05,0.611,R
W2-33,0,,132.521866,-4.86058,0.091,-21.68,10.79,0.626,R
W2-39,1,,133.931671,-5.551276,0.124,-22.1,10.93,0.604,R
W2-42,4,S,133.883636,-5.512226,0.13,-22.6,10.95,0.448,B
W2-43,0,,133.842102,-5.473709,0.139,-22.28,10.87,0.491,B
W2-47,0,,133.259811,-5.379779,0.067,-20.45,10.16,0.507,R
W2-49,1,,133.513626,-5.344761,0.102,-21.59,10.44,0.347,B
W2-50,0,,133.386047,-5.337523,0.055,-20.22,10.17,0.598,R
W2-51,0,,133.501862,-5.21767,0.121,-22.06,10.46,0.201,B
W2-52,0,,133.45932,-5.208953,0.096,-21.45,10.52,0.469,B
W2-55,1,,133.13298,-5.110237,0.166,-22.67,10.73,0.223,B
W2-56,0,,133.229568,-5.059359,0.062,-20.41,10.25,0.599,R
W2-57,0,,133.200607,-5.044389,0.075,-20.7,10.34,0.582,R
W2-59,0,,133.355881,-4.995103,0.144,-22.27,10.88,0.506,B
W2-60,0,,133.087677,-4.951773,0.158,-23.13,11.19,0.473,B
W2-67,0,,134.35997,-5.661165,0.152,-22.66,11.17,0.624,R
W2-68,4,A,134.097809,-5.648972,0.092,-21.53,10.74,0.644,R
W2-69,4,A,134.096191,-5.646927,0.09,-21.84,10.9,0.669,R
W2-70,2,,134.447235,-5.631858,0.173,-23.66,11.34,0.419,B
W2-74,0,,134.630676,-5.496285,0.097,-21.49,10.55,0.491,B
W2-76,0,,134.025543,-5.465482,0.1,-21.4,10.63,0.588,R
W2-77,4,M,134.633362,-5.460415,0.12,-22.17,10.99,0.634,R
W2-81,0,,134.870483,-5.411745,0.144,-22.69,11.12,0.563,R
W2-82,0,,134.835327,-5.409752,0.142,-22.77,11.01,0.436,B
W2-83,0,,134.71936,-5.413341,0.12,-22.15,10.96,0.615,R
W2-84,1,,134.339188,-5.404944,0.114,-21.71,10.78,0.612,R
W2-87,1,,134.072891,-5.38525,0.087,-21.44,10.47,0.429,B
W2-88,4,A,134.738327,-5.350936,0.117,-22.71,11.19,0.621,R
W2-89,3,"L,A",134.826599,-5.350978,0.12,-22.06,10.91,0.608,R
W2-90,0,,134.42836,-5.262855,0.129,-22.41,11.01,0.571,R
W2-91,0,,134.67514,-5.274775,0.076,-21.04,10.13,0.274,B
W2-92,0,,134.526459,-5.252233,0.144,-22.94,11.26,0.598,R
W2-93,0,,134.875931,-5.18842,0.096,-21.29,10.37,0.395,B
W2-94,1,,134.426621,-5.086775,0.094,-21.83,10.7,0.5,B
W2-96,0,,134.323563,-5.047715,0.065,-20.64,10.37,0.625,R
W2-97,0,,134.786636,-5.04317,0.12,-21.92,10.86,0.611,R
W2-99,0,,133.990845,-4.978526,0.153,-23.58,11.52,0.605,R
W2-105,4,S,134.349228,-4.89557,0.095,-21.98,10.92,0.644,R
W2-110,0,,134.708542,-4.756621,0.094,-21.3,10.58,0.579,R
W2-111,0,,134.085617,-4.754487,0.119,-22.01,10.9,0.61,R
W2-112,0,,134.558044,-4.724215,0.119,-22.61,11.14,0.616,R
W2-113,2,,134.839401,-4.7195,0.116,-22.01,10.88,0.594,R
W2-114,0,,135.687607,-5.66828,0.129,-22.07,10.74,0.449,B
W2-115,0,,135.053574,-5.58415,0.082,-21.11,10.44,0.52,R
W2-118,1,,135.292801,-5.354094,0.068,-20.83,10.42,0.609,R
W2-120,0,,135.755264,-5.289909,0.18,-23.09,11.31,0.597,R
W2-121,3,S,135.812897,-5.275785,0.074,-20.86,10.38,0.557,R
W2-122,0,,135.55722,-5.214266,0.078,-20.99,10.36,0.495,B
W2-123,0,,134.98671,-5.150891,0.099,-21.49,10.47,0.416,B
W2-124,0,,135.593979,-5.093661,0.084,-21.83,10.76,0.553,R
W2-125,4,S,134.981278,-5.050979,0.095,-21.5,10.61,0.537,R
W2-128,4,F,135.19812,-4.994212,0.181,-22.92,11.28,0.631,R
W2-133,0,,135.290176,-4.718444,0.139,-22.39,11.01,0.573,R
W2-134,0,,135.987289,-5.535717,0.134,-22.39,10.93,0.503,B
W2-135,0,,135.99942,-5.529022,0.141,-22.46,11.03,0.561,R
W2-136,2,,136.320755,-5.47367,0.15,-22.52,11.11,0.615,R
W2-137,0,,135.926346,-5.412499,0.18,-22.92,11.27,0.619,R
W2-139,2,,136.241318,-5.355691,0.121,-21.97,10.91,0.633,R
W2-140,0,,136.099869,-5.212903,0.092,-21.25,10.45,0.482,B
W2-143,0,,136.468353,-5.018272,0.129,-22.55,11.09,0.59,R
W2-145,0,,136.124847,-4.951866,0.083,-21.02,10.15,0.3,B
W2-146,1,,136.312515,-4.889222,0.09,-21.82,10.83,0.618,R
W2-147,1,,132.516892,-4.67436,0.082,-20.89,10.21,0.398,B
W2-152,0,,132.302368,-4.405945,0.095,-21.34,10.36,0.368,B
W2-154,0,,132.527802,-4.330365,0.126,-22.34,10.87,0.467,B
W2-156,0,,132.17511,-4.326365,0.192,-23.04,11.32,0.621,R
W2-157,0,,132.787613,-4.175069,0.192,-23.42,11.33,0.493,B
W2-158,0,,132.804611,-4.138937,0.125,-22.09,10.83,0.522,B
W2-159,0,,132.889358,-4.113917,0.145,-22.69,11.16,0.599,R
W2-160,0,,132.73172,-4.100234,0.138,-22.23,10.98,0.605,R
W2-163,0,,132.305405,-3.988713,0.084,-21.21,10.54,0.571,R
W2-169,2,,133.395615,-4.607748,0.067,-20.73,10.3,0.53,R
W2-170,4,L,133.40741,-4.60237,0.046,-19.79,9.95,0.553,R
W2-171,0,,133.442429,-4.486828,0.132,-22.65,11.16,0.617,R
W2-172,1,,133.775757,-4.406029,0.065,-21.09,10.24,0.354,B
W2-173,0,,133.601166,-4.379664,0.074,-20.74,9.92,0.188,B
W2-174,3,F,133.64006,-4.101349,0.06,-20.26,9.66,0.131,B
W2-176,0,,133.310883,-3.883724,0.089,-21.63,10.48,0.368,B
W2-179,0,,134.109619,-4.629538,0.071,-20.95,10.23,0.39,B
W2-180,0,,134.482361,-4.607965,0.064,-20.75,10.06,0.313,B
W2-181,0,,134.342041,-4.608329,0.12,-21.97,10.88,0.613,R
W2-182,0,,134.737427,-4.563935,0.151,-23.21,11.39,0.618,R
W2-183,0,,134.83696,-4.544373,0.057,-21.11,10.02,0.148,B
W2-184,0,,134.498932,-4.542769,0.117,-22.29,10.74,0.367,B
W2-188,1,,134.077087,-4.34359,0.154,-22.69,11.12,0.567,R
W2-190,4,M,134.182358,-4.220983,0.18,-22.93,11.24,0.592,R
W2-192,0,,134.123688,-4.147353,0.081,-21.43,10.39,0.361,B
W2-193,2,,134.718765,-4.170416,0.104,-21.8,10.69,0.496,B
W2-195,0,,134.002884,-4.108618,0.086,-21.4,10.47,0.445,B
W2-196,0,,134.065872,-4.033625,0.147,-22.85,11.21,0.594,R
W2-200,0,,135.343567,-4.670206,0.09,-21.18,10.58,0.622,R
W2-202,0,,135.494507,-4.61828,0.073,-20.8,10.32,0.528,R
W2-203,0,,135.814468,-4.608713,0.15,-22.68,11.15,0.598,R
W2-204,4,A,135.184586,-4.595252,0.15,-22.63,11.18,0.641,R
W2-207,0,,135.829803,-4.548098,0.188,-23.06,11.34,0.627,R
W2-210,0,,135.021881,-4.459963,0.106,-22.15,10.9,0.559,R
W2-211,0,,135.588928,-4.460535,0.09,-21.19,10.6,0.634,R
W2-213,0,,135.479981,-4.429192,0.09,-21.22,10.55,0.585,R
W2-215,0,,135.259399,-4.396011,0.162,-23.06,11.33,0.621,R
W2-216,0,,134.994598,-4.369384,0.18,-23.3,11.44,0.639,R
W2-218,0,,135.248123,-4.217878,0.105,-21.8,10.75,0.555,R
W2-219,0,,134.998444,-4.18859,0.103,-21.98,10.43,0.202,B
W2-220,2,,134.93132,-4.192882,0.164,-22.9,11.29,0.641,R
W2-221,0,,135.061218,-4.141319,0.09,-21.38,10.55,0.526,R
W2-222,1,,135.095703,-4.120724,0.126,-22.47,10.99,0.53,B
W2-224,0,,135.039917,-4.100404,0.167,-23.19,11.39,0.629,R
W2-226,0,,135.048904,-4.013731,0.153,-22.8,11.19,0.59,R
W2-227,1,,135.229477,-3.986971,0.145,-22.64,10.74,0.246,B
W2-231,0,,136.716858,-4.619988,0.169,-23.0,11.27,0.588,R
W2-232,0,,136.398773,-4.613728,0.131,-22.33,11.05,0.634,R
W2-234,0,,136.051926,-4.373498,0.13,-22.82,11.25,0.636,R
W2-235,0,,135.990906,-4.301221,0.134,-22.37,11.04,0.606,R
W2-238,0,,136.584213,-4.188684,0.101,-21.49,10.7,0.621,R
W2-240,0,,136.581207,-4.017592,0.083,-21.86,10.77,0.553,R
W2-241,0,,136.666214,-4.009181,0.156,-22.58,10.63,0.172,B
W2-242,0,,135.934112,-3.931017,0.163,-22.95,11.31,0.645,R
W2-245,1,,132.611786,-3.303008,0.107,-21.81,10.55,0.376,B
W2-246,0,,132.380005,-3.304142,0.065,-20.49,10.19,0.524,R
W2-252,3,M,133.701965,-3.148548,0.111,-22.42,11.03,0.578,R
W2-253,3,A,133.198395,-3.092494,0.06,-21.28,10.65,0.65,R
W2-254,1,,133.253647,-3.035109,0.091,-21.86,10.85,0.625,R
W2-260,0,,134.59259,-3.565807,0.182,-23.45,11.48,0.613,R
W2-262,0,,134.759598,-3.083574,0.144,-22.59,10.99,0.491,B
W2-264,3,S,134.600677,-3.026728,0.079,-20.98,10.34,0.475,B
W2-266,1,,134.304062,-2.872144,0.134,-22.34,10.99,0.576,R
W2-271,0,,135.73204,-3.453702,0.064,-20.76,10.31,0.527,R
W2-272,0,,134.988358,-3.436502,0.067,-20.56,10.21,0.519,R
W2-273,0,,135.14885,-3.420034,0.179,-23.01,11.34,0.643,R
W2-274,0,,135.237701,-3.397559,0.153,-22.95,11.29,0.627,R
W2-283,2,,135.975525,-3.76042,0.087,-21.71,10.64,0.485,B
W2-285,0,,136.415604,-3.701932,0.128,-23.11,11.36,0.626,R
W2-288,0,,136.535477,-3.297325,0.187,-23.34,10.87,0.106,B
W2-289,0,,136.346664,-3.095819,0.09,-21.33,10.4,0.411,B
W2-298,1,,132.558639,-2.512032,0.125,-22.05,10.43,0.179,B
W2-299,3,"S,L",132.204147,-2.317823,0.1,-22.07,10.7,0.417,B
W2-300,0,,132.264084,-2.186942,0.075,-20.73,10.29,0.528,R
W2-303,3,M,132.347031,-2.104322,0.086,-21.18,10.48,0.533,R
W2-304,0,,132.341003,-2.086731,0.107,-21.63,10.74,0.606,R
W2-305,0,,132.714615,-2.051213,0.061,-20.4,10.3,0.652,R
