RESOLVE,Conf,Type,SFR,mu-delta,NNdist-kd,NNdist-proj,F16,21cm,Simbad,NED,ra,dec
rs0573,0,0,0.36974978,7.75247288,0.95564056,0.19943,0,2,Simbad,NED,178.141,2.0269
rs0574,3,1,1.95834351,8.23052025,0.24971567,0.25005001,0,2,Simbad,NED,178.1808,1.7409
rs0575,,,0.01028095,7.770051,0.24971567,0.25735,0,1,Simbad,NED,178.2229,1.5784
rs0576,,,0.01579763,7.6121068,0.84111212,0.36601001,0,1,Simbad,NED,178.4903,1.8347
rs0577,,,0.13056484,7.51452208,0.91930392,0.4226,0,1,Simbad,NED,178.5089,1.5484
rs0578,,,0.6483922,8.10007954,1.15858013,0.80150002,0,2,Simbad,NED,178.7138,2.9593
rs0579,,,0.61876458,8.68820858,1.81775852,1.56900001,0,2,Simbad,NED,178.7418,4.6606
rs0580,,,0.04438629,7.50639153,1.98474075,0.39107999,0,1,Simbad,NED,178.7475,1.8584
rs0581,,,0.02935399,7.22017097,1.97988159,0.87338001,0,1,Simbad,NED,178.8663,4.1473
rs0582,,,0.13963932,8.66235447,1.80148677,1.59179997,0,2,Simbad,NED,179.1088,3.7667
rs0583,,,0.01914812,7.98445606,1.99452996,0.75152999,0,1,Simbad,NED,179.1905,1.0143
rs0584,,,0.04711128,7.82170296,1.00769765,0.47773001,0,1,Simbad,NED,179.2155,4.8383
rs0585,,,0.09284913,7.97152328,1.74395767,0.78275001,0,2,Simbad,NED,179.2359,2.8064
rs0586,,,0.05518195,8.36488247,1.26176905,0.78191,0,1,Simbad,NED,179.2599,0.4984
rs0587,,,0.37720034,9.59568596,0.07251171,0.073347,0,2,Simbad,NED,179.3479,4.543
rs0588,,,0.06541283,7.84526157,0.07251171,0.071295,0,2,Simbad,NED,179.3959,4.5562
rs0589,,,0.05344086,8.76866722,1.00769765,0.51034999,0,1,Simbad,NED,179.6811,4.3615
rs0590,,,0.30782223,8.15223503,1.54491357,0.91286999,0,2,Simbad,NED,179.8952,3.3381
rs0591,0,0,0.24931048,8.36581516,0.62904189,0.40222999,0,2,Simbad,NED,180.0749,0.2949
rs0592,0,0,0.00622763,8.70307159,1.90532202,0.53463,0,1,Simbad,NED,180.1107,1.6688
rs0593,0,0,0.00439785,8.40207577,0.15246855,0.14952999,0,2,Simbad,NED,180.1528,2.1466
rs0594,,,0.01271726,8.03295326,0.1180229,0.11799,0,2,Simbad,NED,180.2445,2.1038
rs0595,0,0,0.06554124,9.64686298,0.62904189,0.40434,0,2,Simbad,NED,180.2708,0.1138
rs0596,0,0,0.00758709,9.66767311,0.06251799,0.063815,0,2,Simbad,NED,180.3049,2.05
rs0597,,,0.01400767,7.79593754,0.06251799,0.063278,0,1,Simbad,NED,180.3212,2.0881
rs0598,0,0,0.18394789,9.5424633,1.57769627,0.56766999,0,2,Simbad,NED,180.3344,2.5239
rs0599,0,0,0.0978318,8.54823112,2.36064358,0.25117001,0,2,Simbad,NED,180.3452,1.9256
rs0600,0,0,0.13207819,8.08038712,2.0257375,0.29429999,0,2,Simbad,NED,180.3818,1.2958
rs0602,,,0.03652099,8.28111362,0.38566296,0.27579001,0,2,Simbad,NED,180.3972,4.5925
rs0603,,,0.0663564,8.501091,0.38566296,0.2457,0,2,Simbad,NED,180.4209,4.77
rs0605,,,0.00858106,7.83579397,0.24773502,0.24296001,0,1,Simbad,NED,180.4562,4.4053
rs0604,,,0.00846034,7.89672613,0.35894157,0.65991002,0,1,Simbad,NED,180.4561,2.4215
rs0606,,,0.00724495,8.06321716,0.17734921,0.11174,0,1,Simbad,NED,180.4622,1.5698
rs0607,,,0.00337655,8.26843548,0.38609894,0.25477999,0,1,Simbad,NED,180.4838,2.096
rs0608,0,0,0.02875335,9.8039875,1.60341408,0.10702,0,2,Simbad,NED,180.5225,1.526
rs0609,0,0,0.03725117,8.78072929,1.41790667,0.52699,0,2,Simbad,NED,180.5397,3.3106
rs0610,,,0.03329781,10.18064308,0.77616,0.24913999,0,2,Simbad,NED,180.5733,4.7164
rs0611,,,0.00221899,8.50469685,0.12675546,0.10718,0,1,Simbad,NED,180.5841,1.7981
rs0612,,,0.7140457,10.21328354,0.12865103,0.12932999,0,2,Simbad,NED,180.5956,4.3298
rs0613,,,0.01057815,7.64645815,0.30622994,0.23424999,0,1,Simbad,NED,180.6093,1.3527
rs0614,0,0,0.00675407,8.80167198,0.56887159,0.20128,0,2,Simbad,NED,180.6196,2.2886
rs0615,,,0.02560523,8.54433346,0.12865103,0.12978999,0,2,Simbad,NED,180.6284,4.4053
rs0616,0,0,0.00878208,8.98090935,1.41867078,0.10088,0,2,Simbad,NED,180.6363,1.7489
rs0617,2,2,0.04470979,8.84166241,0.12675546,0.12785999,0,2,Simbad,NED,180.6414,1.8611
rs0618,,,0.06955718,7.84658289,1.09048855,0.51464999,0,1,Simbad,NED,180.6514,4.55
rs0619,,,0.05506732,9.43161392,1.34706669,0.26629001,0,2,Simbad,NED,180.6778,1.9522
rs0620,3,1,0.02249286,7.81569052,1.3754144,0.13506,0,1,Simbad,NED,180.6788,1.5263
rs0621,,,0.00982924,7.92935801,0.05731051,0.059591,0,1,Simbad,NED,180.7039,4.208
rs0622,,,0.07867184,10.19761276,0.05731051,0.060139,0,2,Simbad,NED,180.7316,4.234
rs0623,0,0,0.06098186,8.55670547,2.17342979,0.44604999,0,1,Simbad,NED,180.7371,1.3938
rs0624,0,0,0.00751012,9.0180521,0.23882053,0.23474,0,2,Simbad,NED,180.7394,2.1352
rs0625,,,0.84138924,8.54233074,0.18753003,0.18832999,0,2,Simbad,NED,180.7407,4.846
rs0626,1,1,0.04728208,9.08830643,0.13013225,0.12846,0,2,Simbad,NED,180.7539,2.8364
rs0627,,,0.0333801,8.92376518,3.07849443,0.17065001,0,2,Simbad,NED,180.7583,4.1187
rs0628,,,0.00280758,8.47290421,0.30622994,0.14546999,0,1,Simbad,NED,180.7713,1.4782
rs0629,,,0.11481638,10.49955559,0.10379742,0.097145,0,2,Simbad,NED,180.8051,1.9509
rs0630,,,0.00996792,7.98540449,0.1086889,0.10583,0,1,Simbad,NED,180.8445,4.2298
rs0631,,,0.04097643,8.20474815,0.13013225,0.12684,0,1,Simbad,NED,180.8466,2.8345
rs0632,0,0,0.0179164,9.47770309,0.10379742,0.1043,0,2,Simbad,NED,180.8697,1.9765
rs0633,0,0,0.03361313,9.36462593,1.62030587,0.34321001,0,2,Simbad,NED,180.8728,1.2294
rs0634,,,0.00594394,8.76614094,0.1086889,0.10952,0,2,Simbad,NED,180.8809,4.1676
rs0635,,,0.01720612,7.55848646,0.26602493,0.05918,0,1,Simbad,NED,180.882,2.0086
rs0636,0,0,0.10130037,9.29179287,0.23197607,0.23592,0,2,Simbad,NED,180.8839,3.3978
rs0637,0,0,0.01930021,7.98699474,0.08723933,0.084611,0,1,Simbad,NED,180.8867,1.8029
rs0638,0,0,0.03609524,8.43027496,0.12600931,0.12111,0,2,Simbad,NED,180.8932,2.1789
rs0639,2,2,0.00731348,7.64734411,0.0108281,0.0092387,0,2,Simbad,NED,180.9001,2.05
rs0640,,,0.0663031,9.00165367,0.15538733,0.15276,0,2,Simbad,NED,180.901,3.7565
rs0641,0,0,0.0168502,8.34530067,0.54028626,0.29969001,0,2,Simbad,NED,180.904,2.6305
rs0642,0,0,0.08219909,10.34183598,0.0108281,-999.0,0,2,Simbad,NED,180.9066,2.0469
rs0643,,,0.00517425,8.94743633,0.14814807,0.14663,0,2,Simbad,NED,180.9127,3.6459
rs0644,,,0.07391459,7.48320198,0.33415448,0.33316001,0,1,Simbad,NED,180.9127,4.4404
rs0645,3,2,0.08790608,7.84732628,0.10826122,0.10969,0,1,Simbad,NED,180.9259,1.4576
rs0646,,,0.02292917,7.63342381,0.02717329,0.027228,0,1,Simbad,NED,180.9342,4.2154
rs0647,3,2,0.03536286,9.08461571,0.04710742,0.044479,0,2,Simbad,NED,180.9348,1.8361
rs0648,0,0,0.07462172,9.8273735,0.17698984,0.17422,0,2,Simbad,NED,180.936,1.6952
rs0649,,,0.01330668,8.91433525,0.07647628,0.13407999,0,2,Simbad,NED,180.9483,2.0172
rs0650,,,0.6424284,8.62490273,0.02717329,0.026036,0,2,Simbad,NED,180.953,4.222
rs0651,0,0,0.11317179,9.79588127,0.14814807,0.15001,0,2,Simbad,NED,180.9541,3.5483
rs0652,0,0,0.00550812,8.66095924,0.0450746,0.043718,0,2,Simbad,NED,180.9662,1.8361
rs1337,3,1,0.56311315,8.27312279,0.08402463,0.19839001,0,2,Simbad,NED,180.9759,1.8915
rs0653,0,0,0.01193014,9.15351105,0.12600931,0.1268,0,2,Simbad,NED,180.9776,2.181
rs0654,0,0,0.00664731,8.96065331,0.04859177,0.11945,0,2,Simbad,NED,180.9897,1.961
rs0655,,,0.02952453,7.34325218,0.10826122,0.10889,0,1,Simbad,NED,180.9924,1.4827
rs0656,4,1,0.26931009,9.45308971,1.30400226,0.11721,0,2,Simbad,NED,180.9977,1.4108
rs0657,,,0.00469035,8.39689922,0.04859177,0.12551001,0,1,Simbad,NED,181.0204,1.9718
rs0658,0,0,0.03235929,9.6536417,0.03222741,0.031734,0,2,Simbad,NED,181.0249,1.8471
rs0659,0,0,0.00750211,7.59920835,0.1459359,0.16948999,0,1,Simbad,NED,181.0309,1.5835
rs0660,3,1,0.16619971,8.32119656,0.03222741,0.033373,0,2,Simbad,NED,181.0405,1.8262
rs0661,,,0.00754888,8.04977417,0.12427783,0.12444,0,1,Simbad,NED,181.0463,2.3213
rs0662,0,0,0.01364643,10.31324959,0.03689965,0.082029,0,2,Simbad,NED,181.0545,1.9002
rs0663,0,0,0.00655212,9.30935383,0.03731894,0.079173,0,2,Simbad,NED,181.0621,1.8667
rs0664,0,0,0.01402469,9.14456272,0.03808912,0.037576,0,2,Simbad,NED,181.0693,1.5463
rs0665,,,0.004081,8.4199791,0.08652337,0.10643,0,1,Simbad,NED,181.0696,2.0023
rs0666,0,0,0.00415452,9.77542496,0.03689965,0.070626,0,2,Simbad,NED,181.0721,1.9175
rs0667,,,0.18305935,8.33584309,0.54500006,0.28691,0,2,Simbad,NED,181.0721,3.8731
rs0668,0,0,0.01073428,8.85226917,0.03474286,0.037913,0,2,Simbad,NED,181.0761,1.7
rs0669,0,0,0.05323753,9.52619553,0.03610761,0.14812,0,2,Simbad,NED,181.0791,1.8484
rs0670,0,0,0.10051332,8.71636391,0.03808912,0.038284,0,2,Simbad,NED,181.0832,1.5675
rs0671,0,0,0.04559418,7.98639822,1.82056801,0.40395999,0,1,Simbad,NED,181.1026,2.4593
rs0672,0,0,0.03540598,8.64095974,0.06340066,0.10349,0,2,Simbad,NED,181.1049,1.6473
rs0673,0,0,0.80176944,9.34436417,0.01182961,0.012019,0,2,Simbad,NED,181.1125,1.8961
rs0674,0,0,0.00725573,8.60136986,0.04281656,0.046987,0,2,Simbad,NED,181.1151,1.7485
rs0675,0,0,0.01141582,9.88296604,0.01182961,-999.0,0,2,Simbad,NED,181.1203,1.8944
rs0676,0,0,0.01031947,9.41083431,0.16653152,0.098236,0,2,Simbad,NED,181.1227,1.94
rs0677,0,0,0.12001925,8.21355629,0.01563838,0.014775,0,2,Simbad,NED,181.1244,2.4486
rs0678,,,0.04512127,7.77935314,0.06340066,0.11739,0,1,Simbad,NED,181.1262,1.684
rs0679,0,0,0.21011265,7.97862911,0.12427783,0.12215,0,2,Simbad,NED,181.1284,2.3434
rs0680,0,0,0.01244326,8.97844887,0.01563838,-999.0,0,2,Simbad,NED,181.134,2.4532
rs0681,3,2,0.0680246,9.74580383,0.03262471,0.055311,0,2,Simbad,NED,181.1416,1.8019
rs0682,0,0,0.02376136,9.6878891,0.04281656,0.047088,0,2,Simbad,NED,181.1419,1.7381
rs0683,0,0,0.00621743,9.17338276,0.06072048,0.059453,0,2,Simbad,NED,181.145,1.8424
rs0684,0,0,0.01973587,9.10268784,0.0383266,0.040525,0,2,Simbad,NED,181.1522,2.0474
rs0685,2,2,0.00350927,9.39780426,0.03937937,0.039369,0,2,Simbad,NED,181.153,1.8927
rs0686,,,0.00142482,9.29523659,0.03937937,0.03777,0,1,Simbad,NED,181.1531,1.9191
rs0687,3,1,0.25971442,10.09357548,0.0383266,0.041272,0,2,Simbad,NED,181.1575,2.0725
rs0688,3,1,0.34053317,9.79173088,0.03262471,0.090841,0,2,Simbad,NED,181.1584,1.7878
rs0689,,,0.00533534,8.56625366,2.20434948,0.25207001,0,2,Simbad,NED,181.1687,2.1389
rs0690,,,0.00473313,8.22180843,0.08101407,0.091085,0,1,Simbad,NED,181.1717,1.9969
rs0691,0,0,0.01721542,8.92056751,0.10873425,0.10732,0,2,Simbad,NED,181.1743,1.6028
rs0692,0,0,0.0045977,9.28734875,0.05493286,0.055231,0,2,Simbad,NED,181.1915,1.804
rs0693,0,0,0.00626388,9.61726189,4.53547698,0.19255,0,2,Simbad,NED,181.1933,2.0053
rs0694,0,0,0.0145254,9.63003349,0.05928191,0.05536,0,2,Simbad,NED,181.2218,1.9423
rs0695,0,0,0.00936802,9.52271843,0.05738957,0.054347,0,2,Simbad,NED,181.2258,1.8214
rs0696,0,0,0.08925992,8.90660191,1.51099254,0.45638001,0,2,Simbad,NED,181.2274,1.2155
rs0697,0,0,0.00437515,8.60079384,0.06402517,0.060913,0,2,Simbad,NED,181.2328,1.9009
rs0698,0,0,0.08184895,8.29864311,0.10978183,0.10815,0,2,Simbad,NED,181.237,1.5082
rs0699,0,0,0.00697881,8.40339756,0.10873425,0.10785,0,2,Simbad,NED,181.2391,1.6353
rs0700,,,0.02174379,7.91073418,0.33216437,0.22329,0,1,Simbad,NED,181.2657,2.5671
rs0701,,,0.00346371,8.19657326,0.33216437,0.094349,0,1,Simbad,NED,181.2852,2.3457
rs0702,,,0.00238346,8.42450905,0.08256276,0.098268,0,2,Simbad,NED,181.2878,1.846
rs0703,0,0,0.02485043,8.45805836,0.10978183,0.11405,0,1,Simbad,NED,181.2894,1.5592
rs0704,,,0.00548782,7.91939306,0.18810593,0.10655,0,1,Simbad,NED,181.299,2.4158
rs0705,0,0,0.03002964,9.46630096,0.18810593,0.1,0,2,Simbad,NED,181.3248,2.2895
rs0706,0,0,0.00709697,9.28928661,0.16520487,0.14899001,0,2,Simbad,NED,181.3284,1.6375
rs0707,0,0,0.01129593,9.13155365,0.08441901,0.11458,0,2,Simbad,NED,181.3338,1.7787
rs0708,3,1,0.13372768,10.00444221,0.76386871,0.19806001,0,2,Simbad,NED,181.337,2.5343
rs0709,0,0,0.03446293,9.46068192,0.76386871,0.19619,0,2,Simbad,NED,181.3398,2.0862
rs0710,0,0,0.10457018,7.41016054,1.82056801,0.20608,0,1,Simbad,NED,181.3529,2.2086
rs0711,0,0,0.01020136,9.39021301,0.12955355,0.15784,0,2,Simbad,NED,181.3645,1.9482
rs0712,,,0.02498937,7.47718811,0.05416585,0.042158,0,1,Simbad,NED,181.3663,1.8615
rs0713,0,0,0.07069128,7.50144434,2.51767661,0.33776,0,2,Simbad,NED,181.3831,0.0394
rs0714,2,2,0.06512047,9.64797497,0.22888783,0.13526,0,2,Simbad,NED,181.407,1.8283
rs0715,,,0.04972161,7.51714659,1.51099254,0.57135999,0,1,Simbad,NED,181.4144,0.4086
rs0716,3,2,0.04006558,9.5783968,0.16115737,0.027737,0,2,Simbad,NED,181.4193,1.5936
rs0717,0,0,0.03251114,9.41512871,0.16520487,0.026302,0,2,Simbad,NED,181.4196,1.575
rs0718,,,0.00294825,8.20919609,0.22888783,0.15155999,0,1,Simbad,NED,181.4502,1.9718
rs0719,0,0,0.08551414,9.72865772,0.50863356,0.24549,0,2,Simbad,NED,181.4976,2.4984
rs0720,0,0,0.01289057,7.95244503,0.20189173,0.13955,0,2,Simbad,NED,181.4992,1.8861
rs0721,,,0.01906241,7.51700974,0.18969749,0.13882001,0,1,Simbad,NED,181.513,1.5552
rs0722,0,0,0.06462203,8.20615673,0.35983006,0.32870001,0,1,Simbad,NED,181.5265,2.1923
rs0724,4,1,0.31707096,8.74337769,0.18969749,0.18995,0,2,Simbad,NED,181.6313,1.6166
rs0725,0,0,0.02082386,9.02936935,1.3754144,0.40753001,0,2,Simbad,NED,181.664,1.2843
rs0726,0,0,0.05525204,8.15410042,1.30400226,0.32649001,0,1,Simbad,NED,181.6674,1.3344
rs0727,0,0,0.09903859,7.66506863,0.0992626,0.09735,0,1,Simbad,NED,181.8834,1.6375
rs0728,0,0,0.0337966,9.63785458,0.0992626,0.099676,0,2,Simbad,NED,181.9086,1.5743
rs0729,,,0.00829316,7.9814024,3.00494968,1.27989995,0,1,Simbad,NED,181.9171,0.2467
rs0730,,,0.03060899,7.44755363,0.22564199,0.28814,0,1,Simbad,NED,182.0023,1.362
rs0731,2,1,0.34324566,8.14274216,0.17996447,0.17911001,0,2,Simbad,NED,182.0164,0.6977
rs0732,,,0.00242922,8.89451981,0.17996447,0.15254,0,1,Simbad,NED,182.1292,0.7526
rs0733,0,0,0.03847452,8.23434162,1.10298243,0.28472,0,2,Simbad,NED,182.13,1.9094
rs0734,0,0,0.09569914,8.75356674,1.7728828,0.26914001,0,2,Simbad,NED,182.1779,1.4566
rs0735,,,0.00444264,8.19539642,1.77927805,0.14177001,0,1,Simbad,NED,182.2206,0.7056
rs0736,,,0.03797026,8.0043335,0.15458244,0.16051,0,1,Simbad,NED,182.2783,0.4733
rs0737,,,0.03213072,7.80758572,2.20434948,1.88049996,0,1,Simbad,NED,182.2996,1.7315
rs0738,0,0,0.04532784,8.07319355,1.06404098,0.26696,0,1,Simbad,NED,182.3047,1.8365
rs0739,,,0.01177378,8.39194775,0.37980219,0.27004001,0,1,Simbad,NED,182.3217,1.1516
rs0740,0,0,0.03611427,7.59617519,0.77217673,0.24895,0,1,Simbad,NED,182.3555,0.3082
rs0741,0,0,0.13167797,9.17004871,0.15458244,0.049105,0,2,Simbad,NED,182.3694,0.5334
rs0742,,,0.00776249,8.51361561,0.18273805,0.052273,0,1,Simbad,NED,182.4044,0.5361
rs0743,0,0,0.03243284,7.93592167,0.10007984,0.10009,0,1,Simbad,NED,182.411,0.957
rs0744,0,0,0.00997692,10.18825722,0.18273805,0.19250999,0,2,Simbad,NED,182.421,0.6577
rs0745,0,0,0.22677304,9.04477024,0.10007984,0.1016,0,2,Simbad,NED,182.4743,0.9285
rs0746,0,0,0.03736702,7.80316067,1.63505899,0.38618001,0,1,Simbad,NED,182.48,2.0687
rs0747,0,0,0.00954662,8.23293781,0.16813835,0.16441999,0,2,Simbad,NED,182.5513,0.7541
rs0748,0,0,0.04736126,8.48988724,0.11328871,0.11379,0,2,Simbad,NED,182.5693,0.6266
rs0749,3,2,0.00328976,9.91901493,0.0116308,0.011585,0,2,Simbad,NED,182.6297,0.6728
rs0750,3,2,0.11559836,9.22255325,0.0116308,-999.0,0,2,Simbad,NED,182.6358,0.6776
rs0751,0,0,0.09599464,8.76428509,0.12750594,0.05465,0,2,Simbad,NED,182.647,1.0287
rs0752,,,0.07999686,7.34900188,2.14798835,0.05879,0,1,Simbad,NED,182.6552,1.0649
rs0753,,,0.02377681,7.33194017,0.12750594,0.13364001,0,1,Simbad,NED,182.6817,0.9519
rs0754,0,0,0.03952171,8.34514046,0.05808968,0.05889,0,2,Simbad,NED,182.6846,0.6259
rs0755,0,0,0.06811743,8.23301983,0.05808968,0.056103,0,1,Simbad,NED,182.7095,0.596
rs0756,0,0,0.01899455,8.67289066,0.09141706,0.090362,0,1,Simbad,NED,182.7641,0.6241
rs0757,0,0,0.11682582,9.39386368,0.03384181,0.032289,0,2,Simbad,NED,182.7669,0.9724
rs0758,0,0,0.0305885,8.48332691,0.03384181,0.03287,0,2,Simbad,NED,182.783,0.9569
rs0759,,,0.02230032,7.50958443,0.06980223,0.067154,0,1,Simbad,NED,182.7906,0.7857
rs0761,4,2,0.13103358,10.07792568,1.65979419,0.95055997,0,2,Simbad,NED,182.7951,2.2557
rs0760,,,0.02459695,7.7311902,1.33896232,0.22322001,0,1,Simbad,NED,182.7952,1.4418
rs0762,3,1,0.15702274,7.70586395,0.06980223,0.072342,0,2,Simbad,NED,182.8326,0.805
rs0763,0,0,0.14683729,8.21524525,0.09734759,0.097894,0,2,Simbad,NED,182.869,0.3786
rs0764,,,0.03110006,8.35705853,0.09734759,0.098221,0,1,Simbad,NED,182.9043,0.3224
rs0765,0,0,0.02293763,5.32991457,0.1054452,0.10418,0,1,Simbad,NED,182.9205,0.2527
rs0766,0,0,0.01062203,8.12556934,0.46692996,0.25093001,0,2,Simbad,NED,182.9446,0.9894
rs0767,2,2,0.05457867,7.66207933,0.21126735,0.21337,0,1,Simbad,NED,182.9899,1.4891
rs0768,0,0,0.49942988,7.90053844,0.08451746,0.085227,0,2,Simbad,NED,182.9978,1.3498
rs0769,0,0,0.10347558,8.01413155,0.08451746,0.082585,0,2,Simbad,NED,183.0384,1.3115
rs0770,,,0.04731053,7.32034492,0.54159356,0.18673,0,1,Simbad,NED,183.0908,0.2965
rs0771,2,2,0.06607693,7.40253448,0.85709511,0.04398,0,2,Simbad,NED,183.1286,0.8942
rs0772,,,0.03021485,7.65745831,1.24430222,0.16091,0,1,Simbad,NED,183.1437,0.1861
rs0773,,,0.01665903,7.4625988,1.01652594,0.041216,0,1,Simbad,NED,183.1582,0.8934
rs0774,0,0,0.18170609,7.40952587,0.72226446,0.22701,0,2,Simbad,NED,183.1933,0.4091
rs0775,0,0,0.23069119,7.60557556,0.54159356,0.27261001,0,2,Simbad,NED,183.2512,0.0439
rs0776,,,0.04242336,8.30934525,1.05908054,0.43472001,0,1,Simbad,NED,183.2913,1.1923
rs0777,3,1,0.13111302,6.98677588,1.27179721,0.81827003,0,2,Simbad,NED,183.5092,2.9927
rs0778,0,0,0.07305869,8.02152729,1.56686167,0.69546002,0,1,Simbad,NED,183.5332,2.0826
rs0779,3,1,0.46241921,9.54101849,0.16559698,0.16603,0,2,Simbad,NED,183.6216,0.8302
rs0780,,,0.02910291,7.16093731,0.23359946,0.24052,0,1,Simbad,NED,183.6372,0.9843
rs0781,,,0.2735959,8.43588543,0.16559698,0.16791999,0,2,Simbad,NED,183.6893,0.7436
rs0782,0,0,0.15235984,8.72358704,1.41194501,0.4725,0,1,Simbad,NED,183.8946,1.2864
rs0783,0,0,0.61073798,8.98295307,0.97854384,0.68211001,0,2,Simbad,NED,183.9686,0.4007
rs0784,,,0.17367607,9.81587505,0.39773907,0.36961001,0,2,Simbad,NED,183.9904,3.306
rs0785,2,1,0.09719861,8.04414463,1.61946262,0.72759998,0,2,Simbad,NED,183.994,2.0397
rs0786,0,0,0.06531523,7.61660767,0.39773907,0.36969,0,2,Simbad,NED,184.1391,3.5215
rs0787,,,0.04010246,7.02638245,1.60028674,0.45109999,0,1,Simbad,NED,184.1772,1.405
rs0788,,,0.3879666,7.80096436,1.40367138,0.88827997,0,2,Simbad,NED,184.3388,2.5797
rs0789,2,2,0.08698649,7.20947456,1.73301322,0.42140999,0,2,Simbad,NED,184.3721,1.1986
rs0790,,,0.08022132,7.64120293,1.55494364,1.18729997,0,1,Simbad,NED,184.4462,4.7831
rs0791,,,0.03826556,8.43665695,0.97854384,0.41204,0,1,Simbad,NED,184.5695,0.5519
rs0792,,,0.02658014,7.95122528,0.47228185,0.21635,0,1,Simbad,NED,184.6069,2.0039
rs0793,,,0.19454378,7.96208286,1.57064633,1.29330003,0,2,Simbad,NED,184.6252,4.3069
rs0794,,,0.07869482,8.01881504,1.17619816,0.84157997,0,1,Simbad,NED,184.6274,0.0133
rs0795,,,0.05652342,7.78863144,0.09282199,0.092092,0,1,Simbad,NED,184.667,3.027
rs0796,,,0.03925953,6.95916033,0.47228185,0.21538,0,1,Simbad,NED,184.6985,2.0996
rs0797,0,0,0.20911704,9.61790752,0.03602884,0.036336,0,2,Simbad,NED,184.7225,3.0144
rs0798,3,2,0.13154677,9.46480751,0.02713398,0.026737,0,2,Simbad,NED,184.723,2.9923
rs0799,0,0,0.04876016,7.77088547,0.02713398,0.02701,0,1,Simbad,NED,184.7395,2.9906
rs0800,,,0.02700118,7.6515522,0.06565076,0.065101,0,1,Simbad,NED,184.8174,0.6481
rs0801,3,1,0.03861443,10.03654099,0.06565076,0.065555,0,2,Simbad,NED,184.8551,0.6309
rs0802,0,0,0.07071363,7.92978859,1.46201668,0.82173997,0,2,Simbad,NED,184.8988,1.2167
rs0803,,,0.06861133,6.80228853,1.39537773,1.17420006,0,2,Simbad,NED,185.1116,4.5917
rs0804,0,0,0.1287563,8.67922211,1.09363365,0.75761998,0,2,Simbad,NED,185.1678,2.7581
rs0805,,,0.13122249,7.78513908,0.69347846,0.44731,0,2,Simbad,NED,185.4786,4.8754
rs0806,,,0.03707124,8.69753265,0.53184574,0.51008999,0,2,Simbad,NED,185.5027,2.8994
rs0807,,,0.03131015,7.44552088,1.79857381,0.70425999,0,1,Simbad,NED,185.5372,1.1128
rs0808,,,0.14583182,10.12885284,0.21094691,0.20993,0,2,Simbad,NED,185.6764,3.1419
rs0809,3,1,0.85987723,8.80030441,0.0563737,0.056618,0,2,Simbad,NED,185.7067,3.104
rs0810,0,0,0.07883267,7.40862656,0.0563737,0.056802,0,1,Simbad,NED,185.7303,3.1315
rs0811,,,0.02987986,8.49628639,1.48384927,0.56981999,0,2,Simbad,NED,185.7324,3.6798
rs0812,,,0.14191638,9.83367252,0.79661943,0.25826001,0,2,Simbad,NED,185.7682,3.6659
rs0813,0,0,0.24393836,8.49909306,0.21094691,0.21261001,0,2,Simbad,NED,185.7964,3.1115
rs0814,,,0.07655688,8.53117085,0.81414924,0.040664,0,1,Simbad,NED,185.8188,4.8361
rs0815,,,0.13252357,7.94937515,0.71701148,0.63295001,0,2,Simbad,NED,185.8345,4.8951
rs0816,,,0.02649989,8.29839802,0.76834682,0.041857,0,1,Simbad,NED,185.8369,4.8106
rs0817,0,0,1.12883639,9.85070992,1.49891483,0.71310002,0,2,Simbad,NED,185.8504,2.6791
rs0818,,,0.0676464,8.11589336,0.71701148,0.63546997,0,1,Simbad,NED,185.8578,4.5251
rs0819,,,0.05114608,7.86012459,0.67413435,0.44227999,0,1,Simbad,NED,185.8869,4.4833
rs0820,,,0.0618978,8.06094074,0.79661943,0.52678001,0,1,Simbad,NED,185.8925,4.1071
rs0821,,,0.10307575,8.05335903,0.82219762,0.25571001,0,1,Simbad,NED,185.8984,3.7683
rs0822,,,0.03471304,7.83657312,0.67413435,0.099413,0,1,Simbad,NED,185.9114,4.8162
rs1338,,,0.27817276,8.14988708,0.59044378,0.24876,0,2,Simbad,NED,185.9273,0.9621
rs0823,,,0.53467733,8.52703285,0.73545686,0.62834001,0,2,Simbad,NED,185.9612,4.0872
rs1339,,,0.10943604,8.80948067,0.59044378,0.2498,0,2,Simbad,NED,185.9771,0.8306
rs0824,,,0.750027,8.70194435,0.88417853,0.42963001,0,2,Simbad,NED,186.0204,1.1897
rs0825,,,0.02380147,10.20539379,0.59830636,0.38589001,0,2,Simbad,NED,186.0584,3.7262
rs0827,,,0.08657905,8.9012413,0.21892234,0.21976,0,2,Simbad,NED,186.1461,1.8925
rs0828,0,0,0.0398985,7.63096905,0.57902984,0.25849,0,1,Simbad,NED,186.2618,1.794
rs0829,0,0,0.03285649,8.84656811,0.59830636,0.38826999,0,2,Simbad,NED,186.2783,3.7915
rs0830,,,0.01540896,9.10677719,0.11213422,0.11014,0,2,Simbad,NED,186.4301,4.4182
rs0831,,,0.79039288,7.96743059,0.08159606,0.080549,0,2,Simbad,NED,186.4442,4.5103
rs0832,0,0,0.03585075,7.95542145,1.53515985,0.52455002,0,1,Simbad,NED,186.461,1.4432
rs0833,,,0.77611583,9.53708839,0.08159606,0.082628,0,2,Simbad,NED,186.494,4.474
